ID "GASS ID" "SDSS ID" zSDSS M∗ µ∗ D25 R90/R50 NUV−r r col0 σ S/N SCO,obs SCO,cor "fof f" MH2 MH2/M∗ Flag
0 11956 J000820.76+150921.6 0.0395 10.09 8.48 22.5 2.15 3.04 16.28 4 1.07 2.35 1.16 1.25 ... 8.46 0.024 1
1 12025 J001934.54+161215.0 0.0366 10.84 9.13 34.3 3.03 5.93 14.73 5 1.06 ... ... ... ... 8.78 0.009 2
2 12002 J002504.00+145815.2 0.0367 10.48 9.41 24.2 3.17 6.25 15.46 6 1.18 ... ... ... ... 8.79 0.021 2
3 11989 J002558.89+135545.8 0.0419 10.69 9.18 23.7 3.02 5.79 15.13 7 1.07 ... ... ... ... 8.79 0.013 2
4 27167 J003921.66+142811.5 0.038 10.37 9.14 21.1 2.77 4.48 15.49 8 1.17 ... ... ... ... 8.74 0.023 2
5 3189 J004023.48+143649.4 0.0384 10.05 7.92 37.7 1.96 2.77 15.65 9 1.24 6.69 3.19 3.88 ... 8.93 0.076 1
6 3261 J005532.61+154632.9 0.0375 10.08 8.57 22.8 2.54 2.63 15.48 10 1.96 8.57 4.27 4.62 ... 8.98 0.08 1
7 3318 J010238.29+151006.6 0.0397 10.53 8.98 26.4 3.05 5.73 15.21 11 1.03 ... ... ... ... 8.81 0.019 2
8 3439 J010905.96+144520.8 0.0386 10.35 8.78 32.5 2.9 3.05 15.48 12 1.03 ... ... ... ... 8.79 0.028 2
9 3465 J011221.82+150039.0 0.0292 10.19 8.93 28.7 2.89 3.63 15.33 13 1.17 4.28 2.89 3.28 ... 8.62 0.027 1
10 3645 J011501.75+152448.6 0.0307 10.33 8.93 28.1 2.71 3.97 15.11 14 1.08 ... ... ... ... 8.62 0.02 2
11 3509 J011711.65+132027.3 0.0484 10.81 9.18 31.1 3.11 4.14 15.27 15 1.15 7.24 5.02 5.80 ... 9.3 0.031 1
12 3519 J011728.11+144215.9 0.0427 10.74 8.64 34.2 2.2 3.68 14.94 16 1.53 7.72 5.51 6.52 ... 9.24 0.032 1
13 3505 J011746.76+131924.5 0.0479 10.21 8.83 17.7 3.3 4.92 16.35 17 1.3 ... ... ... ... 8.93 0.052 2
14 3504 J011823.44+133728.4 0.038 10.16 7.91 37.7 1.84 2.85 15.34 18 1.53 9.19 2.83 3.44 ... 8.87 0.051 1
15 3821 J014042.68+133304.6 0.0447 10.87 9.09 41.2 3.26 5.84 14.85 19 1.14 ... ... ... ... 9.01 0.014 2
16 3819 J014143.18+134032.8 0.0453 10.67 9.06 27.6 2.49 2.20 14.71 20 2.21 23.66 20.82 23.42 ... 9.85 0.15 1
17 4094 J014326.66+131913.0 0.0276 10.55 9.22 36.3 2.98 5.94 14.71 21 1.29 ... ... ... ... 8.63 0.012 2
18 4216 J015551.98+145624.9 0.0438 10.74 8.7 40.1 2.5 2.51 14.46 22 2.56 21.66 26.04 32.31 0.12 9.96 0.167 1
19 4137 J015651.99+131246.0 0.0445 10.9 9.32 35.3 3.33 5.35 15.0 23 1.37 ... ... ... ... 8.98 0.012 2
20 4233 J015707.32+145543.5 0.0433 10.88 9.03 32.1 3.06 5.69 14.69 24 1.15 ... ... ... ... 8.76 0.008 2
21 4223 J015712.97+144407.6 0.026 10.56 9.16 41.4 3.35 5.19 14.43 25 1.28 ... ... ... ... 8.66 0.013 2
22 4239 J015816.23+141747.9 0.0261 10.8 9.18 54.4 3.35 5.58 13.92 26 2.04 ... ... ... ... 8.85 0.011 2
23 3962 J020359.14+141837.3 0.0427 10.9 8.84 46.3 2.94 3.22 14.51 27 1.64 33.32 26.04 43.35 0.39 10.07 0.145 1
24 4017 J020517.54+133020.6 0.0258 10.23 8.29 47.9 1.88 3.17 14.44 28 1.9 5.85 3.31 4.37 ... 8.64 0.026 1
25 3880 J020519.88+131530.7 0.027 10.52 9.33 32.9 2.98 6.00 14.6 29 1.29 ... ... ... ... 8.6 0.012 2
26 3977 J020744.46+140453.7 0.0324 10.26 8.64 34.5 2.61 3.57 15.59 30 1.13 3.19 1.65 1.96 ... 8.49 0.017 1
27 4030 J020939.47+135859.4 0.0491 11.33 8.72 42.5 2.02 4.08 14.08 31 2.35 10.07 7.74 13.65 0.41 9.68 0.022 1
28 4038 J021121.82+143015.5 0.0417 10.72 8.65 58.9 2.56 3.40 15.1 32 1.42 8.25 6.78 9.79 ... 9.4 0.048 1
29 4037 J021130.77+141801.9 0.0265 10.77 9.18 53.3 3.22 5.27 13.96 33 2.33 ... ... ... ... 8.74 0.009 2
30 4039 J021131.43+141202.4 0.0254 10.32 8.93 44.5 2.94 3.47 14.79 34 1.13 ... ... ... ... 8.52 0.016 2
31 4045 J021133.55+135501.7 0.0265 10.47 9.21 43.5 3.64 2.83 14.11 35 2.09 71.61 32.94 32.94 0.19 9.54 0.119 1
32 4041 J021136.94+143045.2 0.0262 10.41 8.4 53.5 1.9 3.50 14.42 36 1.44 11.04 6.78 9.37 ... 8.99 0.038 1
33 4040 J021139.06+140830.3 0.0269 10.32 9.27 28.5 3.15 5.80 14.99 37 1.1 ... ... ... ... 8.52 0.016 2
34 4048 J021219.38+133645.6 0.0414 10.55 8.77 27.4 2.32 3.45 15.39 38 1.09 12.88 6.48 7.28 ... 9.26 0.051 1
35 4054 J021337.50+134341.2 0.0411 11.18 9.25 72.0 3.08 3.78 14.18 39 1.54 ... ... ... ... 9.13 0.009 2
36 3981 J021404.39+131156.3 0.0416 10.55 8.76 31.6 2.61 3.76 15.34 40 1.25 7.65 5.78 6.71 ... 9.23 0.048 1
37 4057 J021419.24+135611.2 0.0397 10.52 9.13 26.3 2.72 3.36 15.27 41 1.12 ... ... ... ... 8.86 0.022 2
38 13775 J075155.69+271810.7 0.0264 10.57 8.81 72.6 2.92 4.14 14.91 42 1.17 3.76 2.70 4.36 ... 8.66 0.012 1
39 51276 J075404.48+135714.7 0.0296 10.37 8.55 51.4 2.36 2.78 14.67 43 1.41 19.30 12.54 17.03 ... 9.35 0.095 1
40 51416 J075559.95+125853.2 0.0445 11.27 9.31 57.3 3.2 5.43 13.91 44 2.15 ... ... ... ... 9.33 0.011 2
41 56375 J075719.71+111221.8 0.0464 10.84 8.58 58.0 2.23 3.21 14.91 45 1.87 11.11 5.33 16.04 0.59 9.7 0.073 1
42 56319 J080322.76+095745.8 0.0345 10.14 8.54 24.4 2.53 4.78 16.7 46 1.17 4.16 2.35 2.58 ... 8.66 0.033 1
43 51563 J080442.30+154632.6 0.0293 10.48 8.84 40.9 2.44 3.13 14.61 47 1.9 10.01 8.70 10.87 ... 9.15 0.047 1
44 56312 J080456.34+102621.0 0.0344 10.1 8.37 36.0 2.33 2.37 15.49 48 1.04 12.08 5.71 6.85 ... 9.08 0.095 1
45 56304 J080534.10+102336.2 0.034 10.89 8.63 65.5 1.79 3.61 14.18 49 1.44 6.77 4.58 6.97 ... 9.08 0.015 1
46 19918 J083846.98+072850.5 0.0462 10.82 8.73 47.4 2.6 3.38 14.76 50 1.29 7.25 5.03 6.62 ... 9.32 0.031 1
47 32308 J083934.43+252837.6 0.0292 10.02 7.93 32.1 1.83 3.52 15.32 51 1.16 7.17 2.02 2.35 ... 8.48 0.029 1
48 52297 J085724.03+204237.9 0.0328 10.49 9.0 35.3 3.03 4.19 15.02 52 1.12 2.96 1.60 1.91 ... 8.49 0.01 1
49 19949 J090011.06+074333.9 0.0289 10.69 8.76 42.7 2.31 3.70 14.19 53 2.1 16.54 15.60 19.75 ... 9.39 0.051 1
50 16695 J090115.64+040705.1 0.0281 10.07 8.09 82.1 2.53 3.18 15.84 54 1.01 ... ... ... ... 8.74 0.047 2
51 25752 J090124.57+101200.6 0.0368 10.56 8.44 43.7 2.25 2.55 14.49 55 2.46 10.30 7.32 7.50 0.21 9.18 0.042 1
52 56612 J090307.74+134149.4 0.029 10.27 9.23 25.3 2.95 5.07 15.28 56 1.14 ... ... ... ... 8.59 0.021 2
53 25763 J090311.24+100907.1 0.0296 10.11 8.28 54.0 2.05 2.20 14.63 57 2.47 15.44 9.06 10.89 0.27 9.16 0.11 1
54 16655 J090439.54+053043.3 0.0334 10.63 8.92 53.5 3.1 3.52 14.45 58 1.06 11.76 6.96 9.61 ... 9.2 0.037 1
