,GASS ID,σ,S/N,"SCO,obs",,"SCO,cor",,fof f,MH2,MH2/M∗,Flag
4,11956,1.07,2.35,1.16,,1.25,,...,8.46,0.024,1
5,12025,1.06,...,...,,...,,...,8.78,0.009,2
6,12002,1.18,...,...,,...,,...,8.79,0.021,2
7,11989,1.07,...,...,,...,,...,8.79,0.013,2
8,27167,1.17,...,...,,...,,...,8.74,0.023,2
9,3189,1.24,6.69,3.19,,3.88,,...,8.93,0.076,1
10,3261,1.96,8.57,4.27,,4.62,,...,8.98,0.080,1
11,3318,1.03,...,...,,...,,...,8.81,0.019,2
12,3439,1.03,...,...,,...,,...,8.79,0.028,2
13,3465,1.17,4.28,2.89,,3.28,,...,8.62,0.027,1
14,3645,1.08,...,...,,...,,...,8.62,0.020,2
15,3509,1.15,7.24,5.02,,5.80,,...,9.30,0.031,1
16,3519,1.53,7.72,5.51,,6.52,,...,9.24,0.032,1
17,3505,1.30,...,...,,...,,...,8.93,0.052,2
18,3504,1.53,9.19,2.83,,3.44,,...,8.87,0.051,1
19,3821,1.14,...,...,,...,,...,9.01,0.014,2
20,3819,2.21,23.66,20.82,,23.42,,...,9.85,0.150,1
21,4094,1.29,...,...,,...,,...,8.63,0.012,2
22,4216,2.56,21.66,26.04,,32.31,,0.12,9.96,0.167,1
23,4137,1.37,...,...,,...,,...,8.98,0.012,2
24,4233,1.15,...,...,,...,,...,8.76,0.008,2
25,4223,1.28,...,...,,...,,...,8.66,0.013,2
26,4239,2.04,...,...,,...,,...,8.85,0.011,2
27,3962,1.64,33.32,26.04,,43.35,,0.39,10.07,0.145,1
28,4017,1.90,5.85,3.31,,4.37,,...,8.64,0.026,1
29,3880,1.29,...,...,,...,,...,8.60,0.012,2
30,3977,1.13,3.19,1.65,,1.96,,...,8.49,0.017,1
31,4030,2.35,10.07,7.74,,13.65,,0.41,9.68,0.022,1
32,4038,1.42,8.25,6.78,,9.79,,...,9.40,0.048,1
33,4037,2.33,...,...,,...,,...,8.74,0.009,2
34,4039,1.13,...,...,,...,,...,8.52,0.016,2
35,4045,2.09,71.61,32.94,,32.94,,0.19,9.54,0.119,1
36,4041,1.44,11.04,6.78,,9.37,,...,8.99,0.038,1
37,4040,1.10,...,...,,...,,...,8.52,0.016,2
38,4048,1.09,12.88,6.48,,7.28,,...,9.26,0.051,1
39,4054,1.54,...,...,,...,,...,9.13,0.009,2
40,3981,1.25,7.65,5.78,,6.71,,...,9.23,0.048,1
41,4057,1.12,...,...,,...,,...,8.86,0.022,2
42,13775,1.17,3.76,2.70,,4.36,,...,8.66,0.012,1
43,51276,1.41,19.30,12.54,,17.03,,...,9.35,0.095,1
44,51416,2.15,...,...,,...,,...,9.33,0.011,2
45,56375,1.87,11.11,5.33,,16.04,,0.59,9.70,0.073,1
46,56319,1.17,4.16,2.35,,2.58,,...,8.66,0.033,1
47,51563,1.90,10.01,8.70,,10.87,,...,9.15,0.047,1
48,56312,1.04,12.08,5.71,,6.85,,...,9.08,0.095,1
49,56304,1.44,6.77,4.58,,6.97,,...,9.08,0.015,1
50,19918,1.29,7.25,5.03,,6.62,,...,9.32,0.031,1
51,32308,1.16,7.17,2.02,,2.35,,...,8.48,0.029,1
52,52297,1.12,2.96,1.60,,1.91,,...,8.49,0.010,1
53,19949,2.10,16.54,15.60,,19.75,,...,9.39,0.051,1
54,16695,1.01,...,...,,...,,...,8.74,0.047,2
55,25752,2.46,10.30,7.32,,7.50,,0.21,9.18,0.042,1
56,56612,1.14,...,...,,...,,...,8.59,0.021,2
57,25763,2.47,15.44,9.06,,10.89,,0.27,9.16,0.110,1
58,16655,1.06,11.76,6.96,,9.61,,...,9.20,0.037,1
59,14712,2.36,24.98,19.50,,23.33,,...,9.70,0.143,1
60,57017,1.32,6.95,4.61,,5.64,,...,8.94,0.026,1
61,16841,1.83,9.90,5.85,,6.83,,...,9.01,0.089,1
62,20133,1.78,9.11,7.14,,7.14,,...,9.40,0.035,1
