,GASS ID,SDSS ID,zSDSS,M∗,µ∗,D25,R90/R50,NUV−r,r
0,,,Table 1: Optical and UV parameters of the COLD GASS galaxies,,,,,,
3,11956,J000820.76+150921.6,0.0395,10.09,8.48,22.5,2.15,3.04,16.28
4,12025,J001934.54+161215.0,0.0366,10.84,9.13,34.3,3.03,5.93,14.73
5,12002,J002504.00+145815.2,0.0367,10.48,9.41,24.2,3.17,6.25,15.46
6,11989,J002558.89+135545.8,0.0419,10.69,9.18,23.7,3.02,5.79,15.13
7,27167,J003921.66+142811.5,0.0380,10.37,9.14,21.1,2.77,4.48,15.49
8,3189,J004023.48+143649.4,0.0384,10.05,7.92,37.7,1.96,2.77,15.65
9,3261,J005532.61+154632.9,0.0375,10.08,8.57,22.8,2.54,2.63,15.48
10,3318,J010238.29+151006.6,0.0397,10.53,8.98,26.4,3.05,5.73,15.21
11,3439,J010905.96+144520.8,0.0386,10.35,8.78,32.5,2.90,3.05,15.48
12,3465,J011221.82+150039.0,0.0292,10.19,8.93,28.7,2.89,3.63,15.33
13,3645,J011501.75+152448.6,0.0307,10.33,8.93,28.1,2.71,3.97,15.11
14,3509,J011711.65+132027.3,0.0484,10.81,9.18,31.1,3.11,4.14,15.27
15,3519,J011728.11+144215.9,0.0427,10.74,8.64,34.2,2.20,3.68,14.94
16,3505,J011746.76+131924.5,0.0479,10.21,8.83,17.7,3.30,4.92,16.35
17,3504,J011823.44+133728.4,0.0380,10.16,7.91,37.7,1.84,2.85,15.34
18,3821,J014042.68+133304.6,0.0447,10.87,9.09,41.2,3.26,5.84,14.85
19,3819,J014143.18+134032.8,0.0453,10.67,9.06,27.6,2.49,2.20,14.71
20,4094,J014326.66+131913.0,0.0276,10.55,9.22,36.3,2.98,5.94,14.71
21,4216,J015551.98+145624.9,0.0438,10.74,8.70,40.1,2.50,2.51,14.46
22,4137,J015651.99+131246.0,0.0445,10.90,9.32,35.3,3.33,5.35,15.00
23,4233,J015707.32+145543.5,0.0433,10.88,9.03,32.1,3.06,5.69,14.69
24,4223,J015712.97+144407.6,0.0260,10.56,9.16,41.4,3.35,5.19,14.43
25,4239,J015816.23+141747.9,0.0261,10.80,9.18,54.4,3.35,5.58,13.92
26,3962,J020359.14+141837.3,0.0427,10.90,8.84,46.3,2.94,3.22,14.51
27,4017,J020517.54+133020.6,0.0258,10.23,8.29,47.9,1.88,3.17,14.44
28,3880,J020519.88+131530.7,0.0270,10.52,9.33,32.9,2.98,6.00,14.60
29,3977,J020744.46+140453.7,0.0324,10.26,8.64,34.5,2.61,3.57,15.59
30,4030,J020939.47+135859.4,0.0491,11.33,8.72,42.5,2.02,4.08,14.08
31,4038,J021121.82+143015.5,0.0417,10.72,8.65,58.9,2.56,3.40,15.10
32,4037,J021130.77+141801.9,0.0265,10.77,9.18,53.3,3.22,5.27,13.96
33,4039,J021131.43+141202.4,0.0254,10.32,8.93,44.5,2.94,3.47,14.79
34,4045,J021133.55+135501.7,0.0265,10.47,9.21,43.5,3.64,2.83,14.11
35,4041,J021136.94+143045.2,0.0262,10.41,8.40,53.5,1.90,3.50,14.42
36,4040,J021139.06+140830.3,0.0269,10.32,9.27,28.5,3.15,5.80,14.99
37,4048,J021219.38+133645.6,0.0414,10.55,8.77,27.4,2.32,3.45,15.39
38,4054,J021337.50+134341.2,0.0411,11.18,9.25,72.0,3.08,3.78,14.18
39,3981,J021404.39+131156.3,0.0416,10.55,8.76,31.6,2.61,3.76,15.34
40,4057,J021419.24+135611.2,0.0397,10.52,9.13,26.3,2.72,3.36,15.27
